articulo,parrafo,titulo,texto,categoría,medio,fecha,autor,sección
2,6,La recordación es mayor cuando se leen impresos,"De hecho, Jeremy Rifkin explica en su libro 'La civilización empática' que un periódico contiene 68,3 palabras de uso poco frecuente por cada mil palabras, mientras que internet, debido a la necesidad de establecer referencias rápidas, realiza construcciones con palabras sencillas y una estructura de frases simples.",Lectura,El Tiempo,6/20/2015,NA,Debes Saber
2,7,La recordación es mayor cuando se leen impresos,"Patricia Greenfield, psicóloga del desarrollo y profesora de la Universidad de UCLA, repasó más de cincuenta estudios sobre los efectos de los medios de comunicación en la inteligencia de las personas y su capacidad de aprendizaje. La conclusión fue que el creciente uso de la red está debilitando la capacidad para el “procesamiento profundo que permite la adquisición consciente del conocimiento, el análisis inductivo, el pensamiento crítico, la imaginación y la reflexión”.",Lectura,El Tiempo,6/20/2015,NA,Debes Saber
3,1,Un cara a cara con dos 'e-readers',Reseña. Comparamos dos de los lectores electrónicos disponibles en Colombia: Papyre 630 y Kindle.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,2,Un cara a cara con dos 'e-readers',"El mercado de los libros electrónicos en Colombia se encuentra en ciernes. De acuerdo con la Cámara Colombiana de Informática y Telecomunicaciones (CCIT), apenas el 1,5 por ciento de los contenidos editoriales adquiridos son digitales. En otros países, como Inglaterra, el porcentaje de acogida de este tipo de formato llega a 85 por ciento.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,3,Un cara a cara con dos 'e-readers',Los usuarios coinciden en que leer a través de las pantallas de tabletas o celulares no es cómodo.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,4,Un cara a cara con dos 'e-readers',"El tiempo promedio de lectura de un artículo de EL TIEMPO en la web no supera los cinco minutos y, en el mejor de los casos, llega a los 12.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,5,Un cara a cara con dos 'e-readers',"Por ende, la presencia de lectores electrónicos (o e-readers) en el mercado es esencial para impulsar los contenidos digitales: son dispositivos que parecen pequeñas tabletas, pero acuden a una tecnología denominada tinta electrónica. Por medio de la misma se simula la experiencia que ofrecen los libros de papel.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,6,Un cara a cara con dos 'e-readers',En el mercado colombiano ya encontramos por lo menos dos familias de estos artículos tecnológicos: los Grammata Papyre y los Amazon Kindle.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,7,Un cara a cara con dos 'e-readers',Pudimos probar dos modelos: el Papyre 630 y el Kindle Paperwhite 2014.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,8,Un cara a cara con dos 'e-readers',"En cuanto a diseño, la diferencia es notoria: el Kindle cuenta con un grosor de 9 mm, contra los 9,5 del dispositivo de Grammata. Sin embargo, a favor del lector de la compañía española, el Papyre viene con un estuche de cuerpo y acopla botones en su cuerpo para pasar y refrescar las páginas.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,9,Un cara a cara con dos 'e-readers',Las mayores diferencias se notan cuando encendemos los dos aparatos: el Papyre toma alrededor de 26 segundos contra los casi 40 del Kindle.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,10,Un cara a cara con dos 'e-readers',"Pero la calidad de imagen ofrecida por el dispositivo de Amazon es superior. Se deduce que la causal de este fenómeno responde al software del dispositivo porque, en el papel, ambos lectores disponen de pantallas de 6 pulgadas con resolución de 758 por 1024 pixeles con tecnología E-ink Pearl. La nitidez de las letras en el Kindle es bastante superior.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,11,Un cara a cara con dos 'e-readers',"Y es que la principal debilidad del Papyre radica en su software: se siente más rústico, complejo de usar, y su respuesta es más lenta. La interfaz del Kindle parece más amigable y la respuesta de la pantalla al tacto es casi inmediata.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,12,Un cara a cara con dos 'e-readers',Otro aspecto para evaluar son los niveles de luz trasera: en el Kindle encontramos hasta 24 niveles de iluminación contra los ocho del Papyre.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,13,Un cara a cara con dos 'e-readers',"Hasta ese punto de la evaluación, la victoria parece lógica para el dispositivo de Amazon. No obstante, un factor inclina la balanza a favor del lector competidor: el Papyre soporta el formato de código abierto ePub, el más popular en término de oferta en cuento a contenidos electrónicos.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,14,Un cara a cara con dos 'e-readers',La tienda de Amazon,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,15,Un cara a cara con dos 'e-readers',Uno de los principales atractivos de Amazon es su tienda de libros electrónicos. A la misma se puede acceder desde una sección ubicada en el Kindle. Cuenta con un catálogo de 120.000 títulos en español y esperan contar con 150.000 a final de año.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,16,Un cara a cara con dos 'e-readers',El precio promedio de cada libro es de entre 7 y 9 dólares. Uno de los vacíos de la tienda es la escasa presencia de contenidos infantiles.,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,17,Un cara a cara con dos 'e-readers',Kindle: mejor imagen,Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,18,Un cara a cara con dos 'e-readers',"En este comparativo, el Kindle se lleva elogios por su calidad de imagen. La duración de la batería se extiende hasta por ocho semanas. Sin embargo, este dispositivo no permite leer el formato más usado en contenidos electrónicos: el ePub. El usuario está obligado a adquirir libros en el formato propio de Amazon (AZW), en Mobipocket, en prc o en pdf. El costo del Paperwhite 2014 es elevado para el mercado colombiano: se consigue por 429.900 pesos. El modelo básico cuesta 269.000 pesos, pero no tiene luz trasera.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,19,Un cara a cara con dos 'e-readers',"Papyre: más económico, pero lento",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,20,Un cara a cara con dos 'e-readers',"El Papyre 630 cuesta menos que el Kindle: alrededor de 300.000 pesos, y acepta un abanico mayor de formatos: txt, pdf, epub, pdb, fb2, rtf, mobi, entre otros.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
3,21,Un cara a cara con dos 'e-readers',"Debe mejorar su ‘software’. Es más lento que el Kindle y menos amigable, y la calidad de imagen es notablemente inferior. Para conocer detalles sobre su disponi- bilidad en Colombia, visite la página grammata.co.",Dispositivos,El Tiempo,8/3/2015,NA,Tecnósfera
4,1,Hay una sobredosis enorme de libros,"El ilustrador español Isidro Ferrer, uno de los invitados al Hay Festival, habla de los libros como objeto y del momento que vive la ilustración",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,2,Hay una sobredosis enorme de libros,"El ilustrador Isidro Ferrer, referente del diseño en España, continúa estremecido. El asesinato hace dos semanas de los caricaturistas de 'Charlie Hebdo', quienes interpretaban el mundo a través de la imagen, como él, lo pone a reflexionar sobre el concepto de realidad.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,3,Hay una sobredosis enorme de libros,"“La ignorancia y el fanatismo carecen de sentido del humor y no entienden el auténtico valor de la risa”, dice Ferrer, como abrebocas de esta entrevista sobre su primera vez en el Hay Festival, como invitado.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,4,Hay una sobredosis enorme de libros,"Ferrer, también ilustrador de libros, participará en el evento ‘Colores que reparan’, que apoya la empresa Pinturas Tito Pabón, en el que pintará un mural con niños de la comunidad de Puerto Rey, a 10 minutos de Cartagena; y de otra charla sobre el mundo de la ilustración.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,5,Hay una sobredosis enorme de libros,"Fundador de una ‘Editorial de Objetos Singulares’ e ilustrador de libros de autores como Pablo Neruda o Eduardo Galeano o Rafael Alberti, habla sobre los libros como objetos y del momento que vive la ilustración:",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,6,Hay una sobredosis enorme de libros,¿Podrá la ilustración salvar al libro impreso?,Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,7,Hay una sobredosis enorme de libros,"No exclusivamente, pero sí que ayuda a significar el libro desde un territorio diferente, no solo desde la lectura sino desde la pieza objetual. Cuando hablamos de libro electrónico estamos usando mal los términos. El libro es el soporte, la literatura está al margen del libro, lo que ocurre es que la literatura se concreta muchas veces en el libro, pero este no necesita de la literatura para existir.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,8,Hay una sobredosis enorme de libros,¿No lo amenaza la tecnología?,Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,9,Hay una sobredosis enorme de libros,"Lo que va a hacer la tecnología es limpiar mucho el espacio editorial, porque hoy se está editando mucho, cosas a veces sin sentido. Hay una sobredosis enorme de libros. Cuando toda esta información se puede dar de una manera más razonable y económica en un entorno digital, el libro se va a tener que repensar y resituar en el territorio que siempre ha tenido, que es el objetual. El libro es un espacio físico y como tal va a recuperar la dignidad que le correspondía.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,10,Hay una sobredosis enorme de libros,¿Y cómo podrá recuperarla?,Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,11,Hay una sobredosis enorme de libros,"Para que otra vez el libro exista como espacio físico tendrá que cuidar el papel, la impresión, los márgenes, los elementos compositivos que se habían olvidado. La imagen también va a recuperar un espacio en el libro, pero fundamentalmente este va a tener que estar bien hecho como objeto.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,12,Hay una sobredosis enorme de libros,¿De qué forma la ilustración se ha reinventado en los formatos digitales?,Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,13,Hay una sobredosis enorme de libros,"Estamos todos perdidos, todo va tan rápido que no podemos vaticinar lo que va a suceder. A quienes trabajamos con la comunicación, la ilustración o el diseño gráfico, que todo cambie a esa velocidad nos lleva a una neurosis y a una pérdida de perspectiva en la que estamos intentando mantenernos a flote, para ver de qué manera nos ajustamos a esa realidad cambiante.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,14,Hay una sobredosis enorme de libros,¿Pero es un buen momento para la ilustración?,Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,15,Hay una sobredosis enorme de libros,"Hasta hace no muy poco se pensaba que la ilustración solo podía estar dirigida a un público infantil o que era un adorno de la lectura seria. Se pensaba que la lectura seria no debería venir acompañada de imágenes que endulzaran el hecho lector; pero, poco a poco, se ha ido comprendiendo que el leer no es exclusivamente para el entorno literario ni ensayístico, sino que también contempla otros espacios de manifestación y uno de ellos es la ilustración. Que se convierte en una expresión también.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,16,Hay una sobredosis enorme de libros,"Hoy, de hecho, toma fuerza la novela gráfica...",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
4,17,Hay una sobredosis enorme de libros,"La novela gráfica ha ido invadiendo el mercado y al mismo tiempo dignificando la ilustración y la propia profesión de ilustradores muy serios que tienen a la imagen como parte fundamental en el relato de sus historias. Es una categoría nueva que viene del cómic, bebe de la literatura y de muchas otras circunstancias que están ahora en el entorno de la creación contemporánea.",Libros,El Tiempo,1/20/2015,Catalina Oquendo,Cultura y Entretenimiento
5,1,Lectores Hoy,"En un escenario donde se están redefiniendo las prácticas más arraigadas de acceso y consumo a la palabra escrita, como consecuencia del impacto creciente de las tecnologías de la información y de la comunicación, contar con información periódica y sistemática sobre los resultados de los planes y programas de lectura adelantados se ha convertido en uno de los mayores retos para las administraciones públicas.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,2,Lectores Hoy,"Sin embargo, el desafío hoy no pasa solo por adelantar estudios de este tipo con una determinada regularidad y de asegurarse de la fiabilidad de la información recabada, sino también por dar debida cuenta de prácticas de lectura que se renuevan rápidamente. Para hacernos a una composición de lugar, bastará con traer a colación una situación que más de uno habrá presenciado. Situémonos por un momento en una estación de cualquier sistema de transporte masivo de alguna de las capitales latinoamericanas, llámese metro, subte, transmilenio, metrobus, etcétera. Al echar un vistazo nos encontraremos con que varios de los que esperan la llegada del tren o del bus, según el caso, tienen la mirada fija en sus teléfonos inteligentes. No es difícil aventurar lo que están haciendo. Unos cuantos estarán conversando a través de un servicio de mensajería instantánea; otros, revisando su correo electrónico; algunos, actualizando su perfil en Facebook, y no faltarán los que estén leyendo las noticias o una novela. Habrá también quienes alternen entre varias de las opciones anteriores. Por ejemplo, alguien que al terminar una noticia o una columna decida compartirla a través de Twitter.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,3,Lectores Hoy,"Se trata de una escena paradigmática que permite hacer referencia a una serie de circunstancias que condicionan las formas que están adoptando los consumos culturales en general y las prácticas de lectura en particular. En primer lugar, esta escena habla del desarrollo de América Latina en la creación de infraestructura y de condiciones de acceso a las tecnologías de la información y de la comunicación. Si bien es preciso reconocer que aún se presentan rezagos con respecto al mundo en desarrollo, no son tampoco desdeñables los avances que han tenido lugar en la última década. No en vano un estudio de la multinacional alemana Bookwire, publicado recientemente con un título de por sí significativo, Evolución y tendencias digitales en América Latina, indica: “el uso de Internet crece a un ritmo acelerado, y las expectativas y proyecciones sitúan la penetración digital en Latinoamérica en el 53 % en 2016, con un crecimiento de un 13 % anual”.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,4,Lectores Hoy,"No menos importante en la escena es la omnipresencia de teléfonos inteligentes. En materia de penetración de la telefonía celular o móvil, según lo indica la Unión Internacional de Telecomunicaciones (UIT), desde 2011 América Latina y el Caribe superaron el umbral del 100 %. Este hecho es de especial relevancia si pensamos en que, con los avances en términos de cobertura de la banda ancha móvil, los teléfonos celulares parecen anunciarse como los dispositivos por los que, más temprano que tarde, pasará buena parte del acceso a contenidos culturales.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,5,Lectores Hoy,"La masificación del acceso a Internet y de la conectividad en general, que se traduce en la posibilidad de acceder a cualquier contenido a cualquier hora y en cualquier lugar, obliga a tomar como punto de partida de cualquier análisis de las prácticas de lectura contemporáneas a un lector hiperconectado y sobreequipado tecnológicamente, en especial si se trata de los más jóvenes. Es común escuchar que las nuevas generaciones leen y escriben hoy menos, cuando puede que lo estén haciendo más que nunca e inclusive en una mayor proporción fuera de la escuela que dentro de esta. Se pierde de vista que leer y escribir son prácticas cognitivas y sociales que están cambiando. En los nuevos escenarios, donde conviven (por no decir, compiten) simultáneamente distintos medios y se solapan los consumos, es preciso preguntarse por lo que se entiende hoy por leer y escribir y, de paso, buscar unidades de medición que se adecúen a esa respuesta.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,6,Lectores Hoy,"De ahí que el Centro Regional para el Fomento del Libro en América Latina y el Caribe (Cerlalc) haya llevado a cabo una actualización de la propuesta metodológica que publicara en 2011 para estudiar el comportamiento lector y medir los hábitos de lectura, que ha publicado con el título Metodología común para explorar y medir el comportamiento lector. El encuentro con lo digital. Esta, como apuntábamos en un comienzo, busca dar cabida a las transformaciones a las que se están viendo sometidas las prácticas de lectura y, añadamos, de escritura como consecuencia de fenómenos de naturaleza digital.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,7,Lectores Hoy,"Así, sin pretender establecer un modelo que llegue a reemplazar formas más tradicionales de consumo, describe y reconoce un contexto donde, producto de la posibilidad que ofrecen las distintas pantallas de reproducir toda clase de contenidos, sin importar su origen o finalidad, el soporte pierde su exclusividad –el libro deja de ser el único vehículo para la transmisión de lo escrito, como la televisión no lo es más para lo televisivo– y en el que el texto entra a competir, en principio en igualdad de condiciones, con otros consumos culturales. De igual modo, llama la atención sobre un hecho aún incipiente, propiciado por la preeminencia del texto en Internet como centro de la comunicación, esto es, la alternancia entre lectura y escritura (pensemos, por ejemplo, en los espacios destinados para comentar al pie de una entrada publicada en un blog).",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,8,Lectores Hoy,"La propuesta metodológica del Cerlalc, basándose en este reconocimiento de la complejización de las prácticas de lectura causada por el entrecruzamiento de lenguajes y medios, identifica una serie de desafíos que debe ser tenida en cuenta en la implementación de estudios de comportamiento lector. En primer lugar, propone la superación de la visión librodeterminista de los instrumentos tradicionales de medición e invita a no relegar a un segundo plano la lectura en otros medios que no sean el impreso. Reconoce también la distancia entre las prácticas reales y las prácticas declaradas, que se explica, por ejemplo, por la legitimidad de la que gozan ciertos géneros sobre otros. Busca también poner en valor la lectura en tiempos fragmentados, alejada de esa visión paradigmática, basada en una relación forzada entre lectura y literatura, en la que solo se da validez a la lectura en intervalos prolongados. Además, llama la atención sobre la disputa entre lo que llama unidades leídas frente a unidades finalizadas, como consecuencia de la cual termina muchas veces por obviarse la lectura de capítulos o fragmentos, motivada por razones profesionales o de estudio.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
5,9,Lectores Hoy,"En la ‘Metodología’ se problematiza también la jerarquización entre prácticas, producto de lo cual se otorga un estatus preferente a la lectura por ocio o por placer y se produce una segmentación entre buenas y malas prácticas. Asimismo, pretende ahondar en el análisis de ese segmento poblacional, que es numeroso en los países latinoamericanos, situado entre los lectores frecuentes y los no lectores. Por último, reconoce la necesidad de que los estudios realizados no solo pongan de manifiesto la situación de la lectura frente a otras formas de consumo cultural, sino que insta a establecer relaciones con variables sociales y económicas, con el fin de superar el nivel descriptivo de los análisis e intentar alcanzar un nivel explicativo de los fenómenos en curso.",Lectura,Lecturas Dominicales,5/15/2015,Fernando Zapata López,Cultura
6,1,Entre papel & aparato,"Uno de los géneros literarios que está migrando a gran velocidad al internet son los cuentos infantiles. Esa migración, sin embargo, no es como en la mayor parte de los libros para adultos, un paso de textos del papel a la pantalla. Los de los niños se cuentan a sí mismos, o sea que no hay que leérselos, traen efectos de sonido y son generalmente más gráficos que los de papel. Los personajes de las historias o para el caso, cualquiera de los animales y objetos que las pueblan, ladran, relinchan, hablan, corren. El nene o nena solo necesita tocar la pantalla para que el osito del cuento diga ‘buenas noches’, y llegue la oscuridad.",Lectura,Lecturas Dominicales,12/6/2014,Cecilia Rodríguez,Educación
6,2,Entre papel & aparato,"Muchos especialistas, pediatras y padres se preguntan si esa experiencia se considera tiempo de lectura o tiempo de medio digital. Si a esa experiencia se le puede seguir llamando ‘leer un libro’, sobre todo porque a medida que la tecnología evoluciona las casas editoriales de libros digitales agregan más posibilidades de desvíos. La ‘lectura’ no es continua. Cada ‘página’ ofrece la oportunidad de explorar otras alternativas. Un jueguito para escoger colores, por ejemplo, puede aparecer en el medio de la historia. Las voces pueden cambiar de tono, las conversaciones se pueden interrumpir para responder a un juego de preguntas.",Lectura,Lecturas Dominicales,12/6/2014,Cecilia Rodríguez,Educación
6,3,Entre papel & aparato,"Dada la novedad de los dispositivos electrónicos, no existen muchos estudios que hayan podido seguir el fenómeno por largo tiempo. Las primeras investigaciones al respecto comienzan apenas a hacer aparición y los resultados son muy variados. Los investigadores en el tema admiten que no hay respuestas concretas todavía. “Sabemos cómo aprenden a leer los niños”, explicó la directora de la Asociación para la Educación Infantil en EE. UU., “pero no sabemos todavía cómo ese proceso está siendo afectado por tecnología digital”. Los estudios publicados sugieren que la lectura en un aparato electrónico debilita la dinámica de desarrollo del lenguaje. Hay muchas interacciones que ocurren cuando se le lee un cuento a un niño de un libro tradicional. Hay que pasar las páginas, se tocan los dibujos, se comenta lo que está ocurriendo. Eso no ocurre cuando ‘leen’ un libro electrónico.",Lectura,Lecturas Dominicales,12/6/2014,Cecilia Rodríguez,Educación
6,4,Entre papel & aparato,"Un gran peligro de los libros electrónicos que se leen a sí mismos o que entretienen a los niños pequeños con juegos, según los expertos, es permitirles creer a los padres que pueden descuidar sus responsabilidades educativas. “Existe la posibilidad de que los libros electrónicos infantiles se conviertan en la televisión de esta generación”, dice un estudio. “No hay necesidad de sentarme a leerle historias y pasar páginas con mi hijo cuando mi iPad lo puede hacer por mí”. Los investigadores encontraron que en la lectura electrónica se le pone más atención a la interacción con el aparato. “Los papás literalmente ponen la mano sobre la mano del infante y le dan instrucciones: ‘no toques todavía’, ‘mueve la flecha aquí primero’, mientras que con libros de papel hay más diálogo sobre la historia y su relación con la vida del niño, lo cual es clave para el desarrollo lingüístico”, concluye uno de los estudios. Otra investigación, el año pasado, encontró que entre niños de 3 a 5 años que leían en aparatos electrónicos había más bajos niveles de comprensión de lectura que entre niños a los que les leían libros de papel.",Lectura,Lecturas Dominicales,12/6/2014,Cecilia Rodríguez,Educación
6,5,Entre papel & aparato,"La conclusión en la que todos coinciden es que en lo que se refiere al aprendizaje del lenguaje, no hay ningún aparato electrónico que pueda sustituir a un instructor de carne y hueso, inclusive cuando el infante parezca totalmente concentrado en la ‘lectura’. Igualmente hay estudios que muestran que por primera vez se ha llegado al punto en que los niños en edad escolar están leyendo más en computadores y otros aparatos que en libros de papel. Los dispositivos digitales y materiales para aprendizaje y lectura para los mismos están entrando a las aulas escolares de muchos países a gran velocidad, y entre muchos profesores, padres de familia y especialistas hay preocupación sobre si realmente están ayudándolos a aprender a leer y comprender mejor.",Lectura,Lecturas Dominicales,12/6/2014,Cecilia Rodríguez,Educación
